Country Name,Country Code,CO2percap_2018
Aruba,ABW,
Africa Eastern and Southern,AFE,0.933541201
Afghanistan,AFG,0.200151071
Africa Western and Central,AFW,0.515544239
Angola,AGO,0.887380364
Albania,ALB,1.939731563
Andorra,AND,5.97340536
Arab World,ARB,4.438715965
United Arab Emirates,ARE,20.7974984
Argentina,ARG,3.987234198
Armenia,ARM,1.880246268
American Samoa,ASM,
Antigua and Barbuda,ATG,5.504663385
Australia,AUS,15.47551649
Austria,AUT,7.146637625
Azerbaijan,AZE,3.221402183
Burundi,BDI,0.05279463
Belgium,BEL,8.179711061
Benin,BEN,0.688722324
Burkina Faso,BFA,0.216186485
Bangladesh,BGD,0.512837314
Bulgaria,BGR,5.854773434
Bahrain,BHR,19.59297584
"Bahamas, The",BHS,5.86046391
Bosnia and Herzegovina,BIH,6.781131607
Belarus,BLR,6.283647736
Belize,BLZ,1.775127848
Bermuda,BMU,
Bolivia,BOL,2.000327663
Brazil,BRA,2.041874199
Barbados,BRB,4.360870779
Brunei Darussalam,BRN,16.64490862
Bhutan,BTN,1.829277992
Botswana,BWA,3.64230522
Central African Republic,CAF,0.070718706
Canada,CAN,15.49702527
Central Europe and the Baltics,CEB,6.597232486
Switzerland,CHE,4.401991044
Channel Islands,CHI,
Chile,CHL,4.624872245
China,CHN,7.352262682
Cote d'Ivoire,CIV,0.395305384
Cameroon,CMR,0.341842908
"Congo, Dem. Rep.",COD,0.026169263
"Congo, Rep.",COG,0.613992586
Colombia,COL,1.600650618
Comoros,COM,0.312379103
Cabo Verde,CPV,1.140200528
Costa Rica,CRI,1.652184053
Caribbean small states,CSS,5.017034408
Cuba,CUB,2.202300094
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,6.079400502
Czech Republic,CZE,9.640704998
Germany,DEU,8.558389812
Djibouti,DJI,0.510989933
Dominica,DMA,2.513053919
Denmark,DNK,5.761494164
Dominican Republic,DOM,2.363757648
Algeria,DZA,3.591657418
East Asia & Pacific (excluding high income),EAP,5.692966704
Early-demographic dividend,EAR,2.27814572
East Asia & Pacific,EAS,6.333892853
Europe & Central Asia (excluding high income),ECA,7.074186513
Europe & Central Asia,ECS,6.690480926
Ecuador,ECU,2.3138123
"Egypt, Arab Rep.",EGY,2.502042142
Euro area,EMU,6.454837567
Eritrea,ERI,0.231696216
Spain,ESP,5.5203504
Estonia,EST,12.103085
Ethiopia,ETH,0.149050931
European Union,EUU,6.424038741
Fragile and conflict affected situations,FCS,0.868444604
Finland,FIN,8.04275205
Fiji,FJI,2.150561976
France,FRA,4.619241205
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,1.598011364
Gabon,GAB,2.175272204
United Kingdom,GBR,5.398708138
Georgia,GEO,2.538541691
Ghana,GHA,0.541201382
Gibraltar,GIB,
Guinea,GIN,0.251323233
"Gambia, The",GMB,0.249989913
Guinea-Bissau,GNB,0.165394728
Equatorial Guinea,GNQ,5.095625096
Greece,GRC,6.08317505
Grenada,GRD,2.691814193
Greenland,GRL,
Guatemala,GTM,1.113969273
Guam,GUM,
Guyana,GUY,3.13219265
High income,HIC,10.25453315
"Hong Kong SAR, China",HKG,
Honduras,HND,1.019032757
Heavily indebted poor countries (HIPC),HPC,0.271687567
Croatia,HRV,4.055928762
Haiti,HTI,0.299374738
Hungary,HUN,4.745506244
IBRD only,IBD,4.373767894
IDA & IBRD total,IBT,3.404587801
IDA total,IDA,0.560235135
IDA blend,IDB,0.920386827
Indonesia,IDN,2.178461553
IDA only,IDX,0.37549488
Isle of Man,IMN,
India,IND,1.799825446
Not classified,INX,
Ireland,IRL,7.624325193
"Iran, Islamic Rep.",IRN,7.693012599
Iraq,IRQ,4.895195361
Iceland,ISL,6.237224322
Israel,ISR,6.976403837
Italy,ITA,5.376374339
Jamaica,JAM,2.899634155
Jordan,JOR,2.478595273
Japan,JPN,8.74225771
Kazakhstan,KAZ,12.06196914
Kenya,KEN,0.358028408
Kyrgyz Republic,KGZ,1.73973556
Cambodia,KHM,0.686777895
Kiribati,KIR,0.690595812
St. Kitts and Nevis,KNA,4.958236393
"Korea, Rep.",KOR,12.22459136
Kuwait,KWT,21.62272431
Latin America & Caribbean (excluding high income),LAC,2.413939907
Lao PDR,LAO,2.660908493
Lebanon,LBN,4.039707217
Liberia,LBR,0.273917114
Libya,LBY,8.825249137
St. Lucia,LCA,2.14415306
Latin America & Caribbean,LCN,2.637362569
Least developed countries: UN classification,LDC,0.335389683
Low income,LIC,0.23673353
Liechtenstein,LIE,3.692177857
Sri Lanka,LKA,0.99815413
Lower middle income,LMC,1.730955497
Low & middle income,LMY,3.350418141
Lesotho,LSO,1.218975994
Late-demographic dividend,LTE,6.489821697
Lithuania,LTU,4.137005929
Luxembourg,LUX,15.33020808
Latvia,LVA,3.959165078
"Macao SAR, China",MAC,
St. Martin (French part),MAF,
Morocco,MAR,1.850726784
Monaco,MCO,
Moldova,MDA,3.171832063
Madagascar,MDG,0.128320761
Maldives,MDV,3.703674976
Middle East & North Africa,MEA,5.638657141
Mexico,MEX,3.741477725
Marshall Islands,MHL,3.252756283
Middle income,MIC,3.691801479
North Macedonia,MKD,3.549725294
Mali,MLI,0.294583928
Malta,MLT,3.198316241
Myanmar,MMR,0.605492803
Middle East & North Africa (excluding high income),MNA,3.841040725
Montenegro,MNE,4.049968902
Mongolia,MNG,6.725098053
Northern Mariana Islands,MNP,
Mozambique,MOZ,0.225115201
Mauritania,MRT,0.908407126
Mauritius,MUS,3.264040313
Malawi,MWI,0.086533726
Malaysia,MYS,7.600220413
North America,NAC,15.27087561
Namibia,NAM,1.735898378
New Caledonia,NCL,
Niger,NER,0.102037038
Nigeria,NGA,0.667110199
Nicaragua,NIC,0.805815233
Netherlands,NLD,8.772823734
Norway,NOR,7.031361189
Nepal,NPL,0.428179218
Nauru,NRU,6.555534744
New Zealand,NZL,6.572664572
OECD members,OED,8.835263958
Oman,OMN,15.19212436
Other small states,OSS,6.406682315
Pakistan,PAK,0.981820105
Panama,PAN,2.42765632
Peru,PER,1.69681923
Philippines,PHL,1.33369096
Palau,PLW,16.19116744
Papua New Guinea,PNG,0.866804457
Poland,POL,8.235472255
Pre-demographic dividend,PRE,0.557925928
Puerto Rico,PRI,
"Korea, Dem. People's Rep.",PRK,0.709208588
Portugal,PRT,4.840612761
Paraguay,PRY,1.210453778
West Bank and Gaza,PSE,
Pacific island small states,PSS,1.539504166
Post-demographic dividend,PST,9.853984332
French Polynesia,PYF,
Qatar,QAT,32.41563917
Romania,ROU,3.845132759
Russian Federation,RUS,11.12661837
Rwanda,RWA,0.087790824
South Asia,SAS,1.526651238
Saudi Arabia,SAU,15.26878053
Sudan,SDN,0.483235878
Senegal,SEN,0.621912357
Singapore,SGP,8.399134832
Solomon Islands,SLB,0.566740598
Sierra Leone,SLE,0.133330736
El Salvador,SLV,1.060625411
San Marino,SMR,
Somalia,SOM,0.04597479
Serbia,SRB,6.521922194
Sub-Saharan Africa (excluding high income),SSA,0.763112676
South Sudan,SSD,0.125729734
Sub-Saharan Africa,SSF,0.763618494
Small states,SST,5.859845144
Sao Tome and Principe,STP,0.663406498
Suriname,SUR,3.611192614
Slovak Republic,SVK,6.058635474
Slovenia,SVN,6.774695332
Sweden,SWE,3.538009127
Eswatini,SWZ,0.959275668
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,6.407474008
Syrian Arab Republic,SYR,1.647087511
Turks and Caicos Islands,TCA,
Chad,TCD,0.069131598
East Asia & Pacific (IDA & IBRD countries),TEA,5.754705895
Europe & Central Asia (IDA & IBRD countries),TEC,7.142551871
Togo,TGO,0.286471389
Thailand,THA,3.714039204
Tajikistan,TJK,0.80541954
Turkmenistan,TKM,12.25964817
Latin America & the Caribbean (IDA & IBRD countries),TLA,2.614462991
Timor-Leste,TLS,0.504741813
Middle East & North Africa (IDA & IBRD countries),TMN,3.861347119
Tonga,TON,1.841103111
South Asia (IDA & IBRD),TSA,1.526651238
Sub-Saharan Africa (IDA & IBRD countries),TSS,0.763618494
Trinidad and Tobago,TTO,12.77844012
Tunisia,TUN,2.592258865
Turkey,TUR,5.01541837
Tuvalu,TUV,0.86918731
Tanzania,TZA,0.205634733
Uganda,UGA,0.143462178
Ukraine,UKR,4.154180631
Upper middle income,UMC,6.236807615
Uruguay,URY,1.890244079
United States,USA,15.24087458
Uzbekistan,UZB,3.401191282
St. Vincent and the Grenadines,VCT,2.540604301
"Venezuela, RB",VEN,4.782754887
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,2.698805922
Vanuatu,VUT,0.615016657
World,WLD,4.477639096
Samoa,WSM,1.631587535
Kosovo,XKX,
"Yemen, Rep.",YEM,0.326681763
South Africa,ZAF,7.496644895
Zambia,ZMB,0.446065443
Zimbabwe,ZWE,0.849792905
